Sarki_Ismi,Muzik_Turu,Popülarite
LA NOCHE DE ANOCHE,reggaeton,82
Victoria’s Secret,singer-songwriter,82
Summer Of '69,singer-songwriter,82
"thank u, next",dance,82
Ain't No Mountain High Enough,funk,82
Under the Bridge,metal,82
Can't Stop,metal,82
Gasolina,reggae,82
Gasolina,latino,82
Bohemian Rhapsody - Remastered 2011,rock,82
Under the Bridge,alt-rock,82
Sorry,pop,82
No Me Conoce - Remix,latino,82
What A Time (feat. Niall Horan),dance,82
When You're Gone,dance,82
Unstoppable,dance,82
Kiss Me More (feat. SZA),dance,82
Summer,progressive-house,82
Summer,house,82
Better Days (NEIKED x Mae Muller x Polo G),house,82
Easy On Me,soul,82
Strawberries & Cigarettes,pop,82
No Me Conoce - Remix,reggaeton,82
Si Te La Encuentras Por Ahí,reggaeton,82
Enemy (with JID) - from the series Arcane League of Legends,rock,82
CÓMO SE SIENTE - Remix,reggaeton,82
Si Veo a Tu Mamá,reggaeton,82
Die Hard,hip-hop,82
Praise The Lord (Da Shine) (feat. Skepta),hip-hop,82
She Knows (feat. Amber Coffman & Cults),hip-hop,82
Summer of Love (Shawn Mendes & Tainy),pop,82
Stereo Hearts (feat. Adam Levine),pop,82
Just the Way You Are,dance,82
Better Days (NEIKED x Mae Muller x Polo G),dance,82
Mercy,dance,82
Bam Bam (feat. Ed Sheeran),dance,82
Prom Queen,rock,82
Strawberries & Cigarettes,dance,82
We Don't Talk Anymore (feat. Selena Gomez),dance,82
Typa Girl,pop,82
New Gold (feat. Tame Impala and Bootie Brown),alternative,82
Riptide,rock,82
Summer Of '69,rock,82
Those Eyes,indie,82
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,house,82
HIGHEST IN THE ROOM,house,82
Typa Girl,k-pop,82
Under the Bridge,alternative,82
Can't Stop,alternative,82
Excuses,pop,82
2002,pop,82
Angel Baby,pop,82
See You Again (feat. Charlie Puth),pop,82
Talking to the Moon,pop,82
No Surprises,alt-rock,82
Californication,alt-rock,82
No Me Conoce - Remix,reggae,82
Si Te La Encuentras Por Ahí,reggae,82
The Business,edm,82
Look At Me!,hip-hop,82
Gasolina,reggaeton,82
2002,house,82
Electric Love,rock,82
Ride,rock,82
Natural,rock,82
Not Allowed,indie-pop,82
Alien Blues,indie-pop,82
Bring Me To Life,alternative,82
Californication,alternative,82
No Surprises,alternative,82
LOS APARATOS,reggaeton,82
Pantysito,reggaeton,82
UN PESO,reggaeton,82
Loco Por Perrearte - Remix,reggaeton,82
Move Your Body,edm,82
My Kind of Woman,edm,81
Tennessee Whiskey,country,81
Basket Case,punk,81
"You're Gonna Go Far, Kid",punk,81
Ride It,electro,81
"You're Gonna Go Far, Kid",alt-rock,81
Señorita,dance,81
"You're Gonna Go Far, Kid",metal,81
idfc,electro,81
idfc,pop,81
Acapulco,dance,81
idontwannabeyouanymore,electro,81
Novacane,soul,81
A Thousand Years,rock,81
Whatever It Takes,rock,81
Bad Liar,rock,81
"Rocket Man (I Think It's Going To Be A Long, Long Time)",piano,81
Junio,latino,81
Master Of Puppets,metal,81
The Reason,metal,81
November Rain,metal,81
Enter Sandman,metal,81
This Is What You Came For,progressive-house,81
Silence,progressive-house,81
The Kids Aren't Alright,metal,81
Waiting For Love,edm,81
This Is What You Came For,electro,81
die first,electro,81
Enter Sandman,rock,81
Silence,dance,81
Cool for the Summer,dance,81
Silence,edm,81
Tiroteo - Remix,spanish,81
Can You Feel My Heart,metal,81
Rude,reggae,81
rises the moon,indie,81
Chaand Baaliyan,indie,81
golden hour,indie,81
Sofia,indie,81
"You're Gonna Go Far, Kid",punk-rock,81
The Middle,punk-rock,81
The Kids Aren't Alright,punk-rock,81
Sweet Home Alabama,country,81
Space Cadet (feat. Gunna),hip-hop,81
Until I Found You,songwriter,81
Meet Me At Our Spot,alternative,81
The Kids Aren't Alright,alt-rock,81
MAMIII,reggae,81
A Thousand Years,dance,81
The Middle,emo,81
The Reason,rock,81
November Rain,rock,81
"You're Gonna Go Far, Kid",alternative,81
Callaita,latino,81
Sweet but Psycho,dance,81
Unstoppable,pop,81
Dandelions - slowed + reverb,pop,81
The Middle,punk,81
Lonely,dance,81
I Want It That Way,dance,81
Mayor Que Usted,latino,81
QUE PRETENDES,latino,81
Sobrio,latino,81
Mercedes Tintia,latino,81
New Rules,dance,81
Fourth of July,songwriter,81
Lights Are On,songwriter,81
Fingers Crossed,songwriter,81
Someone Like You,british,81
Rolling in the Deep,british,81
Lights Are On,british,81
Back To Black,british,81
Sobrio,reggae,81
Mayor Que Usted,reggae,81
Sultans Of Swing,rock,81
Love You Like A Love Song,dance,81
Waiting For Love,dance,81
Kiss Me More (feat. SZA),dance,81
Goosebumps - Remix,house,81
High Hopes,rock,81
That That (prod. & feat. SUGA of BTS),hip-hop,81
INDUSTRY BABY (feat. Jack Harlow),hip-hop,81
Goosebumps - Remix,hip-hop,81
Not Afraid,hip-hop,81
QUE PRETENDES,reggae,81
The Reason,alt-rock,81
Tu Aake Dekhle,pop,81
Toxicity,alternative,81
Can You Feel My Heart,rock,81
Señorita,pop,81
Don't Start Now,dance,81
Can You Feel My Heart,metalcore,81
Junio,reggaeton,81
MAMIII,reggaeton,81
QUE PRETENDES,reggaeton,81
Sobrio,reggaeton,81
Mayor Que Usted,reggaeton,81
There Is a Light That Never Goes Out - 2011 Remaster,punk,81
Teenagers,punk,81
Love Tonight - David Guetta Remix Edit,house,81
Youngblood,dance,81
Smack That,dance,81
This Is What You Came For,dance,81
Sofia,indie-pop,81
Ivy,soul,81
Back To Black,soul,81
Always Forever,indie-pop,81
Lights Are On,singer-songwriter,81
Fingers Crossed,singer-songwriter,81
The Kids Aren't Alright,ska,81
The Kids Aren't Alright,punk,81
Tu Aake Dekhle,hip-hop,81
Sweet Home Alabama,blues,81
Silence,electro,81
November Rain,hard-rock,81
Enter Sandman,hard-rock,81
Master Of Puppets,hard-rock,81
Sweet Home Alabama,hard-rock,81
You Shook Me All Night Long,hard-rock,81
Someone Like You,soul,81
Rolling in the Deep,soul,81
The Next Episode,funk,81
Falling Down - Bonus Track,emo,81
